Path,Text,Person_Voice,Mfcc_Fratures
D:\Capstone\VoiceDatasets\Output\Noise removed\biden-original_out\segment_11.wav,"Supported us. I'm proud of the campaign we built and ran. I'm proud of the coalition we put together. The broadest and most diverse coalition in history. Democrats, Republicans, independents, progressives, moderates, conservatives, young, old, urban, suburban, rural, gay, straight, transgender, white, latino, asian, Native American. You. I mean it. Especially those moments. And especially for those moments.",biden-original_out,"[-3.14745972e+02  1.17023956e+02 -4.25875969e+01 -1.01261425e+01
 -7.31808805e+00  1.90103877e+00 -2.59447384e+01 -1.99031181e+01
 -1.57054834e+01 -5.71648455e+00 -8.53415680e+00 -3.73325777e+00
 -5.00544500e+00 -7.14866590e+00 -1.15002718e+01 -1.89560080e+00
 -1.89914627e+01 -9.06384659e+00 -1.65798874e+01 -1.01785631e+01
 -1.39199476e+01 -1.44087982e+00  1.32857704e+00  4.52496767e+00
  4.67320010e-02  3.06245852e+00 -5.75065231e+00 -3.21323180e+00
 -1.12658238e+00  2.70060015e+00 -8.31687927e-01 -1.98880792e+00
 -2.24193239e+00  9.56964374e-01 -1.31922615e+00 -1.08634412e+00
 -3.51742315e+00 -3.89118099e+00 -2.87881708e+00 -2.85871482e+00]"
D:\Capstone\VoiceDatasets\Output\Noise removed\biden-original_out\segment_12.wav,"With this campaign was at his lowest ebb. The african american community stood up again for me. You've always had my back, and I'll have yours. I said at the outset I wanted to represent this campaign, to represent and look like America. We've done that now. That's what I want the administration to look like and act like. For all those of you who voted for President Trump,",biden-original_out,"[-3.09115540e+02  1.27127563e+02 -5.99405365e+01 -2.60611038e+01
 -2.89033437e+00 -7.05086374e+00 -2.69652367e+01 -1.59943447e+01
 -1.24280748e+01 -3.96597385e+00 -7.05906677e+00 -5.37421370e+00
 -1.18909807e+01 -7.36498785e+00 -9.97277260e+00  2.15864253e+00
 -1.36205435e+01 -7.08066368e+00 -1.13532877e+01 -1.07388964e+01
 -1.49934559e+01 -4.90405416e+00 -8.81584263e+00 -7.62269199e-01
  7.43549824e-01  4.16714287e+00  1.55398083e+00  5.05971052e-02
  6.89994872e-01  2.52523994e+00 -6.37644887e-01  4.02759314e-01
  3.31368834e-01  8.45308185e-01 -2.33625698e+00 -2.76946694e-01
 -1.67570126e+00 -1.69867563e+00 -2.62189412e+00 -2.51411748e+00]"
D:\Capstone\VoiceDatasets\Output\Noise removed\biden-original_out\segment_13.wav,"Understand the disappointment tonight. I've lost a couple of times myself. But now let's give each other a chance. It's time to put away the harsh rhetoric, lower the temperature, see each other again, listen to each other again. And to make progress, we have to stop treating our opponents as our enemies. They are not our enemies. They are Americans.",biden-original_out,"[-3.3950052e+02  9.7640808e+01 -4.7053288e+01 -6.4095645e+00
 -4.2660818e+00 -4.9403825e+00 -2.5348106e+01 -1.1945968e+01
 -1.2273694e+01 -5.5334477e+00 -6.2689419e+00 -4.0976701e+00
 -9.8883181e+00 -8.0442810e+00 -1.3338851e+01  1.4411118e+00
 -1.3315179e+01 -7.3196654e+00 -1.1199515e+01 -5.4511690e+00
 -1.2760818e+01 -3.3418510e+00 -6.0019507e+00 -1.2502283e+00
 -3.2491925e+00  4.2084742e+00 -1.4019287e+00 -1.1223810e-01
 -9.9040794e-01  1.9452039e+00 -1.2619375e+00 -9.6757370e-01
 -1.7589822e+00  4.0313891e-01 -2.8494570e+00 -5.4916048e-01
 -1.3346044e+00 -7.5919724e-01 -3.0457850e+00 -1.9891701e+00]"
D:\Capstone\VoiceDatasets\Output\Noise removed\biden-original_out\segment_14.wav,"They are Americans. The Bible tells us to everything. There is a season, a time to build, a time to reap, and a time to sow, and a time to heal. This is the time to heal in America. Now, this campaign is over. What is the will of the people? What is our mandate?",biden-original_out,"[-4.02488892e+02  8.98552475e+01 -3.49556236e+01 -9.48000431e+00
 -7.92899513e+00 -5.27990294e+00 -1.71550083e+01 -1.35761948e+01
 -1.19351110e+01 -5.64289474e+00 -4.63984060e+00 -3.81276083e+00
 -4.78898001e+00 -6.35831547e+00 -8.97814751e+00 -2.59849042e-01
 -1.05862894e+01 -7.41283369e+00 -1.07664175e+01 -8.39951038e+00
 -8.91043377e+00 -3.43242717e+00 -6.34910583e-01  2.35810208e+00
  6.85855091e-01  3.05338264e+00 -8.72186720e-01 -4.59499121e-01
 -1.22094655e+00  1.70819056e+00  5.52383900e-01 -1.20925653e+00
 -1.57182443e+00 -1.20296264e+00 -3.17986751e+00 -7.77278602e-01
 -9.71075833e-01 -1.59332991e+00 -3.37121725e+00 -2.61725450e+00]"
D:\Capstone\VoiceDatasets\Output\Noise removed\biden-original_out\segment_15.wav,"It. I believe it's this. Americans have called upon us to marshal the forces of decency, the forces of fairness, to marshal the forces of science and the forces of hope and the great battles of our time. The battle to control the virus, the battle to build prosperity, the battle to secure your family's health care. The battle to achieve racial justice and root out systemic racism in this country.",biden-original_out,"[-3.2438531e+02  1.0475500e+02 -3.0599340e+01 -1.5211137e+01
 -1.7823591e+01 -8.4255539e-02 -1.8703064e+01 -1.5592928e+01
 -1.8635798e+01 -5.2463608e+00 -8.2619505e+00 -2.2366066e+00
 -7.6609278e+00 -7.2323937e+00 -7.4895844e+00  7.2486138e-01
 -1.3918364e+01 -8.1057987e+00 -1.5270694e+01 -1.3368228e+01
 -1.6048368e+01 -4.9038239e+00 -2.7696073e+00  3.6917455e+00
  3.0606427e+00  3.3601332e+00 -4.1102576e+00 -2.5919240e+00
 -2.6609876e+00  3.1232004e+00  2.4940281e-01  3.8002227e-02
 -2.8960264e+00 -4.0607521e-01 -1.7966464e+00  1.2186582e+00
 -1.8615155e+00 -2.3690872e+00 -3.7862484e+00 -8.2644236e-01]"
D:\Capstone\VoiceDatasets\Output\Noise removed\biden-original_out\segment_16.wav,"Country and the battle to save our planet by getting climate under control. The battle to restore decency, defend democracy, and give everybody in this country a fair shot. That's all they're asking for, a fair shot. Folks, all our work begins with getting Covid under control. We cannot repair the.",biden-original_out,"[-3.8102209e+02  9.0915100e+01 -4.4378017e+01 -7.9280534e+00
 -2.0213294e-01 -8.2287893e+00 -1.9320665e+01 -1.4937231e+01
 -1.1497503e+01 -1.9744953e+00 -9.9184942e+00 -4.2319560e+00
 -2.4365370e+00 -4.8598385e+00 -9.5275574e+00 -1.8350013e+00
 -9.8944120e+00 -2.6515989e+00 -1.2418896e+01 -7.9380875e+00
 -1.0278919e+01 -5.4853854e+00 -7.9262285e+00 -2.8121159e+00
  1.1350665e+00  4.6225872e+00  3.3849213e-02 -1.3597688e-01
 -5.8887029e-01  1.9278768e+00  5.7548684e-01 -3.3788717e-01
 -1.7507159e+00 -6.9016278e-01 -2.1491826e+00  3.0689752e-01
 -1.7890739e-01 -1.2425412e+00 -3.1248472e+00 -6.6287422e-01]"
D:\Capstone\VoiceDatasets\Output\Noise removed\biden-original_out\segment_17.wav,"Economy, restore our vitality or relish life's most precious moments, hugging our grandchildren, our children, our birthdays, weddings, graduations, all the moments that matter most to us until we get it under control. On Monday, I will name a group of leading scientists and experts as transition advisors to help take the Biden Harris Covid plan and convert it into an action blueprint that will start on January.",biden-original_out,"[-3.0465100e+02  1.1435317e+02 -4.7458645e+01 -6.6924796e+00
 -1.2462695e+01 -2.4635589e-01 -2.2211042e+01 -1.4706176e+01
 -1.6021849e+01 -9.3483276e+00 -9.5733089e+00 -6.9640818e+00
 -9.5286646e+00 -8.3730154e+00 -1.0885842e+01 -5.7047331e-01
 -1.6038542e+01 -8.3720503e+00 -1.4149052e+01 -9.9136305e+00
 -1.7013044e+01 -7.4260769e+00 -8.9936581e+00 -1.5376601e+00
  9.5450133e-01  5.3091960e+00  2.5042169e+00  3.6188897e-01
 -1.9789826e+00  1.8317860e-01 -6.1600548e-01  2.3938367e+00
  5.4458678e-01 -2.4382907e-01 -3.4448054e+00 -6.2911540e-01
 -6.0063821e-01 -5.3843570e-01 -3.4567637e+00 -2.3975964e+00]"
D:\Capstone\VoiceDatasets\Output\Noise removed\biden-original_out\segment_18.wav,"January the 20th, 2021. That plan will be built on bedrock science. It will be constructed out of compassion, empathy and concern. I will spare no effort, none, or any commitment, to turn around this pandemic. Folks, I'm a proud Democrat, but I will govern.",biden-original_out,"[-3.92351044e+02  8.88215408e+01 -4.48717079e+01 -1.49421015e+01
 -2.15901303e+00 -2.25308418e+00 -1.72390938e+01 -1.33403368e+01
 -1.30509291e+01 -4.09062910e+00 -5.27336884e+00 -3.81431937e+00
 -4.34122229e+00 -9.02535439e+00 -9.73947144e+00  7.08166301e-01
 -1.23357401e+01 -5.17321062e+00 -9.67630291e+00 -7.78948450e+00
 -9.04149151e+00 -4.83850670e+00 -3.76400185e+00 -4.66752470e-01
 -1.44253564e+00  2.09463763e+00 -6.47679329e-01 -6.59316778e-01
 -8.45679224e-01  1.25940323e+00  2.17447028e-01 -4.19050485e-01
 -1.71105228e-02  1.63519645e+00 -4.51637954e-01 -1.15497279e+00
 -2.12186885e+00 -3.95241708e-01 -7.49985754e-01 -8.85800779e-01]"
D:\Capstone\VoiceDatasets\Output\Noise removed\biden-original_out\segment_19.wav,"As an american president, I'll work as hard for those who didn't vote for me as those who did. Let this grim era of demonization in America begin to end here and now. Refusal of Democrats and Republicans.",biden-original_out,"[-411.33398      87.13645     -40.36581     -16.358791      0.7541982
   -1.6675884   -16.8726      -13.03714     -15.453122     -1.5509604
   -5.276226     -4.569483     -4.0570245    -6.133783     -9.245071
   -0.49853054  -13.340174     -7.286706     -9.500881     -6.9997807
   -8.762795     -2.887763     -2.8415015     0.6698616    -0.87354195
    3.2211063    -0.7509805    -1.0565798    -0.62112045    1.6691592
   -0.43436468   -1.1529793    -1.6250393    -0.56411207   -1.5787929
   -1.0377942    -2.1343117    -1.5001442    -1.658174     -1.403353  ]"
D:\Capstone\VoiceDatasets\Output\Noise removed\biden-original_out\segment_20.wav,"To cooperate with one another. It's not some mysterious force beyond our control. It's a decision, a choice we make. And if we can decide not to cooperate, then we can decide to cooperate. And I believe that this is part of the mandate given to us from the american people. They want us to cooperate in their interest. And that's the choice I'll make. And I'll call on Congress, Democrats.",biden-original_out,"[-3.28225800e+02  1.01671768e+02 -4.18308334e+01 -9.47295666e+00
 -7.42750740e+00 -8.26691723e+00 -2.34835701e+01 -1.55164900e+01
 -1.65837154e+01 -8.36966038e+00 -1.05260153e+01 -5.82294893e+00
 -8.91972351e+00 -6.83827019e+00 -1.16700983e+01 -2.77921945e-01
 -1.57914782e+01 -7.33746958e+00 -1.35222645e+01 -1.02575550e+01
 -1.31691294e+01 -3.88285112e+00 -5.15099096e+00  1.54505491e+00
 -6.36476398e-01  5.38806248e+00  6.82372332e-01  2.53690195e+00
  5.30755460e-01  5.36053658e-01 -1.76174223e+00  7.92861998e-01
  2.10915327e-01  5.95413268e-01 -3.38343239e+00 -1.44277585e+00
 -2.78918576e+00 -1.09594870e+00 -3.09036112e+00 -2.32395697e+00]"
D:\Capstone\VoiceDatasets\Output\Noise removed\linus-original\segment_1.wav,"Most successful companies eventually outgrow the leadership of their founders, and it looks like my time is now. Effective July 1, 2023, after ten wild and very eventful years, I will be stepping down as CEO of Linus Media Group, creator Warehouse, and Floatplane Media. I'm sure you have a lot of questions, and I'm going to try to answer them all here. Like why now? What's going to happen to the channels in the lab? And if not you, who's going to be around to tell us?",linus-original,"[-2.9586679e+02  1.2396465e+02 -1.7094360e+01  2.2503141e+01
  7.5619121e+00 -3.0935056e+00 -5.1382910e-02 -1.3668199e+00
 -5.9190011e+00  8.4336195e+00 -8.0978327e+00 -2.1780792e-01
 -1.6437976e+00  2.3543334e+00 -1.4168059e+00 -1.1630028e+00
 -2.4477973e+00  1.6444986e+00 -4.7698112e+00 -1.8572168e+00
 -8.2618105e-01 -4.2553261e-01 -5.4443746e+00 -1.4878033e+00
 -8.3261623e+00 -4.0326538e+00 -5.0162711e+00 -8.4176266e-01
 -4.4279294e+00 -2.1958473e+00 -3.3050432e+00 -1.0026950e+00
 -3.0372412e+00 -2.1998942e+00 -3.6709642e+00 -2.7000754e+00
 -3.5945950e+00 -1.7022063e+00 -3.4038215e+00 -1.8256409e+00]"
D:\Capstone\VoiceDatasets\Output\Noise removed\linus-original\segment_2.wav,"About our sponsor. The Ridge Father's Day is coming up. Luckily, ridge is having one of their biggest sales of the year. Give the dads in your life a unique and functional ridge wallet or key case so they can do dad things like brag about their wallet and keys. Check the ridge out at the link below and make dad proud. The truth is, I was never really cut out to be a CEO. I remember putting it on my business cards in the early days when we had only four employees, thinking, this feels ridiculous. And I've never really outgrown that. I'm a lot of things.",linus-original,"[-2.7178558e+02  9.8526192e+01 -1.8644556e+01  2.1032825e+01
  6.5777698e+00 -6.8515029e+00 -2.4076507e+00 -4.8808675e+00
 -8.2222281e+00  4.5627413e+00 -1.3992986e+01  2.8009269e-01
 -6.1209264e+00  1.1565969e+00 -3.0264113e+00  1.4254215e+00
 -5.2907314e+00  2.7714124e+00 -6.6973939e+00 -2.3874760e+00
 -4.1977515e+00 -1.2633629e+00 -5.5942636e+00  1.0104389e-01
 -6.9823856e+00  8.7480640e-01 -3.3547087e+00  9.2084515e-01
 -2.8181574e+00  9.9912000e-01 -1.1352153e+00  1.6388712e+00
 -1.0848665e+00  1.3765914e+00 -9.4752717e-01  1.4716313e+00
 -3.2918692e-01  1.1443572e+00 -1.6886168e+00 -1.7741059e-01]"
D:\Capstone\VoiceDatasets\Output\Noise removed\linus-original\segment_3.wav,"I'm a bottomless pit of creative energy, an excellent motivator and speaker. I'm wicked smart, charming, really funny. But in addition to those strengths, both real and imagined, I have a lot of weaknesses. And chief among them is that I've just never really had the attention to detail or the temperament that it takes to run an organization this large. I touched on some of this during my infamous 10 million and subscriber stream, but the truth is, while I did manage to wrap that up with a pause.",linus-original,"[-294.20328     111.13941     -19.717669     22.591715     10.0527725
   -6.8271666    -6.179753     -2.4790783    -9.047459      7.6552453
  -10.07163      -4.126311     -3.7203434    -0.42014593   -3.282115
   -1.6681657    -2.5195503     2.2621467    -4.1142387    -2.3866937
   -2.809741     -1.6586994    -5.195344     -0.6620018    -8.788978
   -4.0562644    -5.6517353    -1.819222     -4.963236     -3.448896
   -3.4051263    -2.2460358    -3.1108851    -1.7456591    -3.6619835
   -1.654843     -2.7260456    -1.528906     -2.5986702    -0.7980174 ]"
D:\Capstone\VoiceDatasets\Output\Noise removed\linus-original\segment_4.wav,"Positive message about finding motivation to move forward. None of those feelings I talked about ever went away. I wasn't built for this. And I'm tired. Like, really can't do this anymore. Tired. And if I try to drag myself through another ten years of business administration, I know I'm going to destroy myself and probably end up killing the company and the community that I love so much. In the process, I'm at my best when I'm pitching new content or product ideas or when I'm problematic.",linus-original,"[-305.2695      124.687836    -14.339834     15.969717      8.778337
   -6.4096923    -5.4168563    -2.148286    -11.130381      8.824585
   -6.90891      -6.86545      -2.5348835     1.1362289    -1.1691885
   -1.0849962    -3.8917327    -0.42996877   -5.089845     -4.9212785
   -3.2833452    -2.5637999    -5.4098077    -2.6973727    -7.992895
   -3.406018     -4.7616773    -2.5543509    -4.0910106    -2.582477
   -3.0101216    -1.7945027    -4.112468     -2.8305845    -3.235449
   -1.5858407    -1.4468131    -1.8790271    -3.6215343    -2.4803653 ]"
D:\Capstone\VoiceDatasets\Output\Noise removed\linus-original\segment_5.wav,"Solving ways to wipe garbage sites like user benchmark out once and for all. And I have some good news. None of that stuff is going to be going away. My new role is going to be chief vision officer, which is a stupid, BS sounding, made up role, but I think it really is the best one. We thought about creative officer, but that didn't really encompass what I'm going to be responsible for because my gut and principles are what got us to where we are today. So I'm still going to be charting the path that I think makes sense.",linus-original,"[-2.80137909e+02  1.21696884e+02 -9.48078918e+00  2.14013424e+01
  8.34710777e-01 -4.45513166e-02 -6.48335314e+00 -2.07657194e+00
 -9.22090340e+00  8.11839294e+00 -1.15337915e+01 -5.36317825e+00
 -4.06253004e+00 -4.95130897e-01 -1.68166423e+00 -2.33424878e+00
 -5.62090111e+00 -5.63372850e-01 -4.76220942e+00 -4.40234089e+00
 -2.44905615e+00 -7.19635308e-01 -3.84043455e+00 -2.30298090e+00
 -8.05326176e+00 -2.68719220e+00 -4.85154343e+00 -1.95579505e+00
 -4.31789637e+00 -1.53078508e+00 -3.01296806e+00 -9.67201531e-01
 -3.11926007e+00 -1.49154067e+00 -2.90188241e+00 -1.15929949e+00
 -1.43331897e+00 -1.70472133e+00 -3.17285681e+00 -1.89919603e+00]"
